Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Ghana,67.5,warning,3.3,4.7,5.2,6,6.2,7.6,4.8,7.6,4.5,6.7,5.2,5.7,2.34,4.02,4.68,1.86,8.39,3.67
Belize,67.2,warning,5.5,4.3,4.4,5.4,6.9,7,6,5.9,3.9,6.8,5.1,6,2.84,3.96,4.34,4.82,6.99,3.71
Ukraine,67.2,warning,4.3,8,6.2,5.7,5.6,6,7.7,3.9,5.4,5,2.9,6.5,5.98,4.62,3.26,7.51,0.44,6.42
Cyprus,66.8,warning,5,7.9,7.3,5.4,7,5,5.2,3.1,3.3,4.1,4.7,8.8,5.74,4.51,2.66,7.33,3.77,2.45
South Africa,66.8,warning,4.8,5.9,5.6,5.6,8.2,4,5.2,5.8,4.5,8.1,6.4,2.8,7.36,4.68,4.16,7.28,7.6,3.57
Botswana,66.5,warning,3.8,3.3,4.8,6.5,7.7,5.3,4.7,5.9,4.7,8.6,6.1,5.1,3.18,3.96,3.79,5.14,7.32,2.84
Albania,66.1,warning,5.4,6.6,5.1,5.6,5.1,6.8,7.3,4.9,5.5,5,2.8,6,2.99,3.99,2.91,6.97,1.8,4.39
Jamaica,65.8,warning,6.2,3.7,4,6.6,6.2,7,6.4,5.6,5.2,5.9,3.1,6,3.53,4.02,2.01,5.14,6.37,5.36
Seychelles,65.1,warning,6.1,5.7,4.8,4.9,6.9,5.2,6.3,3.8,5.5,5.5,3.6,6.8,5.02,4.51,3.09,5.9,9.21,2.64
Grenada,65,warning,5.3,5.6,3.9,6,6.2,8.2,6.2,3.9,4,5.5,2.9,7.4,3.5,3.96,4.14,0.01,5.16,5.19
Trinidad and Tobago,64.4,warning,6,5.6,4.4,4.7,6.6,7.7,5.9,5.1,5.5,5.5,2.9,4.5,10,4.51,4.46,5.14,5.16,3.46
Brazil,64.1,warning,6.2,4.9,6.2,3.6,8.4,4.2,5.6,5.5,5,7,3.9,3.6,3.37,6.16,1.98,7.03,3.91,4.66
Brunei Darussalam,64.1,warning,5.6,7.4,6.2,3.1,7.8,4.3,7.4,2.9,6.6,4.8,3.6,4.4,9.99,4.51,1,8.51,7.25,1.89
Bahrain,62.2,warning,6,7,7.3,3.1,5.7,2.8,7.5,2.7,7,4.6,2.6,5.9,9.94,4.51,9.88,6.84,4.17,1.73
Romania,59.5,stable,4.4,5.2,6,6,5.6,5,6.3,4.4,4.2,4.6,2.9,4.9,4.44,4.55,2.15,7.45,3.08,4.95
Antigua and Barbuda,58.9,stable,4.9,3.7,4.1,4.8,5.6,7.9,5.8,4.3,4.8,4.9,2.7,5.5,5.3,4.51,3.09,7.59,7.3,4.66
Kuwait,58.8,stable,4.7,7.2,4.6,3.7,5.6,4,6.5,2.9,6.5,4.9,3.5,4.7,10,4.51,9.71,7.41,5.16,1.64
Mongolia,58.7,stable,4.7,5.5,3.7,5.2,6,2.2,5.6,5.6,5.7,5.8,1.9,6.8,7.6,4.03,7.56,5.14,2.09,2.79
Bulgaria,56.3,stable,4.6,5.3,4.9,5,5.4,5.2,5.1,4.3,4,4,3.3,5.2,5.75,4.21,3.32,7.25,1.81,3.1
Croatia,56.3,stable,4.7,4.7,5.6,5.4,4.7,4.7,4.2,3.2,4.6,4,5.2,5.3,4.53,4.51,2.84,7.8,1.91,2.41
Panama,56.1,stable,5.4,2.5,4.9,4.3,7.5,4.8,4.6,5.1,4.4,5.8,3.6,3.3,3.57,4.51,1.78,0.01,4.06,4.6
Montenegro,55.5,stable,4.9,6.2,6.5,4.9,3.8,2.7,4.5,3.9,4.7,4.2,4.2,5,4.24,3.97,3.75,7.05,5.16,2.47
