Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Somalia,113.9,alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4,2.05,3.97,4.95,5.14,5.16,4.71
Congo Democratic Republic,111.9,alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7,4.59,4.5,4.7,5.14,5.16,4.71
Sudan,111,alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10,2.18,4.05,8.49,0.68,8.05,5.54
South Sudan,110.6,alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10,2.09,4.5,7.66,5.14,5.16,2.98
Chad,109,alert,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9,2.05,3.97,9.06,0.13,5.16,8.94
Yemen,107,alert,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7,4.59,4.5,4.7,5.14,5.16,4.71
Afghanistan,106.7,alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10,2.18,3.97,9.63,1.46,5.16,3.94
Haiti,105.8,alert,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9,2.14,3.96,2.31,5.14,5.16,4.7
Central African Republic,105.3,alert,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4,2.06,3.96,8.83,5.14,5.16,9.01
Zimbabwe,105.2,alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8,2.42,3.99,3.53,0.86,9.06,3.71
Iraq,103.9,alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5,5.02,4.5,9.73,5.14,5.16,3.31
Cote d'Ivoire,103.5,alert,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7,2.27,4,3.16,5.14,8.88,6.66
Pakistan,102.9,alert,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,2.49,4.21,9.61,0.5,8.74,3.45
Guinea,101.3,alert,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7,2.12,3.96,3.15,5.14,8.71,7.87
Guinea Bissau,101.1,alert,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9,4.59,4.5,4.7,5.14,5.16,4.71
Nigeria,100.7,alert,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3,2.31,4.05,8.7,1.55,5.16,3.54
Kenya,99.6,alert,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5,2.17,4.02,4.81,5.14,5.16,4.23
Niger,99,alert,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5,2.08,3.97,9.7,0.06,5.16,5.85
Ethiopia,98.9,alert,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1,2.08,4.01,6.35,5.14,5.16,3.85
Burundi,97.6,alert,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7,2.04,3.96,7.17,0.31,9.14,5.51
Syria,97.4,alert,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1,4.59,4.5,4.7,5.14,5.16,4.71
