Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Somalia,114.9,alert,10,9.8,9.6,9.7,8.1,8.6,9.9,9.8,9.9,9.8,10,9.8
Congo Democratic Republic,111.2,alert,9.7,9.5,9.3,8.8,8.9,7.4,9.5,9.2,9.7,9.9,9.7,9.6
Sudan,109.4,alert,9.7,9.9,10,7.3,8.8,8.3,9.5,8.5,9.4,8.4,9.9,9.5
South Sudan,108.4,alert,9.7,10,10,7.3,8.8,6.4,9.1,9.5,9.2,8.4,9.9,10
Chad,107.6,alert,8.9,9.8,9.1,8.3,8.6,7.7,9.8,9.5,9.3,9.3,9.5,7.8
Zimbabwe,106.3,alert,8.7,9.8,8.7,8.9,8.9,9,9.4,9.1,8.9,9,8.4,7.5
Afghanistan,106,alert,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10
Haiti,104.9,alert,8.2,9,7,9.5,8.6,8.8,9.3,9.3,7.7,9.5,8.1,9.7
Yemen,104.8,alert,9.7,9.8,9,8.7,8.4,7,9.1,9,8.4,8.8,8.7,8.3
Iraq,104.3,alert,9.9,9.6,9.7,7.7,8.7,8.6,8.4,7.8,8.3,8,8.5,9
Central African Republic,103.8,alert,9.6,9.1,8.5,8,8.7,5.6,8.9,9.1,8.5,8.8,9.7,9.3
Cote d'Ivoire,103.6,alert,8.9,9.9,9,7.4,7.7,7.6,9.6,8.3,8.3,7.9,9,10
Guinea,101.9,alert,9.4,9.2,7.9,8.9,8.1,8,9.5,8.6,8.7,8.3,8,7.3
Pakistan,101.6,alert,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4
Nigeria,101.1,alert,9.2,9.8,9.7,7.5,8.9,7.6,9.1,9.1,8.6,8.4,6.5,6.6
Guinea Bissau,99.2,alert,9.4,9.2,5.7,9,7.8,7.7,9.3,8.5,7.5,8.7,7.5,8.9
Kenya,98.4,alert,7.6,9,8.9,7.3,8.2,7.7,8.6,8.1,7.4,8.9,8.4,8.4
Ethiopia,97.9,alert,8.1,8.7,8.1,7.4,7.9,7,7.2,8.4,8.6,9.6,8.7,8.2
Burundi,97.5,alert,7.4,7.9,8,8.8,7.9,5.9,8.3,8.5,8.1,8.8,8.9,9
Niger,96.9,alert,8.2,8.6,7.7,8.6,7.6,6,8.4,9.2,7.9,9.3,6.9,8.4
Uganda,96.5,alert,8.3,8.7,7.7,7.5,8.1,6.9,8,8.6,7.8,8.8,8.2,7.9
Myanmar,96.2,alert,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9
North Korea,95.5,alert,8.1,7.7,6.6,9.3,8.6,4.4,9.9,9.4,9.6,7.9,5.3,8.7
Eritrea,94.5,alert,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5
Syria,94.5,alert,8.5,8.7,9.2,6.3,7.5,6,9.5,7,9.4,5.5,9,7.9
Liberia,93.3,alert,7,8.4,6.5,8.6,7.7,6.7,6.9,8.8,6.1,8.4,8.9,9.3
Cameroon,93.1,alert,7.9,9.2,7.5,6.5,8.1,7.5,8.9,8.1,7.8,8.2,7,6.5
Nepal,93,alert,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4
Timor-Leste,92.7,alert,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9
Bangladesh,92.2,alert,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9
Sri Lanka,92.2,alert,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5
Egypt,90.4,alert,7,8.8,8.8,7.1,7.4,5.7,9.2,5.9,9,7.1,6.4,8
Sierra Leone,90.4,alert,5.7,7.9,6.2,8.3,8.2,7.7,7.6,8.7,6.4,8.9,7.8,7.1
Congo Republic,90.1,alert,7,6.7,6.3,7.5,7.9,6.5,8.6,8.4,7.2,8.3,7.7,7.9
Iran,89.6,warning,8.3,9.3,8.6,6.4,6.7,6.4,8.8,5.3,8.9,5.8,7.6,7.4
Rwanda,89.3,warning,5.5,7.9,8.5,6.8,7.4,7,6.8,7.5,8,8.6,7.6,7.7
Malawi,88.8,warning,5.1,7.6,5.7,8.5,7.7,7.8,8,7.9,7.1,8.8,6.2,8.4
Cambodia,88.7,warning,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7
Mauritania,87.6,warning,7.7,8.1,7.5,7.6,6.3,5.4,7.6,7.9,7.3,8,6.5,7.6
Togo,87.5,warning,7.3,7.5,5.1,7.7,7.6,6.9,8.2,8.2,7.4,8.1,6.8,6.8
Uzbekistan,87.5,warning,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7
Burkina Faso,87.4,warning,7.1,7.3,5.2,7.7,8.2,6,8,8.4,7,8.9,5.9,7.7
Kyrgyz Republic,87.4,warning,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6
Equatorial Guinea,86.3,warning,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7
Zambia,85.9,warning,5.3,6,6.3,8.1,7.7,7.1,8,7.7,6.4,9.1,7.3,7
Lebanon,85.8,warning,8.4,9.1,8.4,5.5,6.5,6.3,7.5,5.5,6.5,6.2,8.2,7.7
Tajikistan,85.7,warning,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7
