Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Solomon Islands,85.6,warning,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5
Laos,85.5,warning,6.9,8.6,6.3,6.7,5.8,7.1,8.3,7.4,8.2,7.8,5.5,6.9
Angola,85.1,warning,5.9,7,6.5,4.8,9.1,5.6,8.2,8.3,7.6,8.9,6.9,6.4
Libya,84.9,warning,9,8,7,5.5,7,3.9,8.1,7.6,9,5.8,5.1,9
Georgia,84.8,warning,7.6,9.1,8.3,6.3,6.6,5.2,8.5,5.7,6.7,5.5,7.2,8.2
Colombia,84.4,warning,7,7.7,7.2,4,8.4,7.6,7.4,5.9,7,6.4,8.4,7.4
Djibouti,83.8,warning,6.5,7.5,6.5,6.6,7.1,4.9,7.5,7.2,6.8,8.3,6.9,8
Papua New Guinea,83.7,warning,6.3,7.1,6.9,6.6,8.8,7.2,7.6,8.6,6.1,7.4,4.8,6.1
Swaziland,83.5,warning,6.3,7,3.6,8.3,7,5.8,8.6,7.7,8.3,8.9,4.6,7.4
Philippines,83.2,warning,8.4,8,7.6,5.3,6.8,6.5,7.9,6.3,7,7.3,6.2,5.8
Comoros,83,warning,7.5,7.5,5.3,7.9,6.1,6.9,7.7,7.9,6.3,7.3,4.2,8.4
Madagascar,82.5,warning,6.9,7.8,5.2,7.9,7.6,5.2,7.3,8.3,6,8,4.4,8
Bhutan,82.4,warning,5.9,7.5,7.6,6.6,7.8,6.5,6.3,6.6,7.3,6.7,6.6,7
Mozambique,82.4,warning,6.8,5.6,4.9,7.9,7.7,7.5,7.3,8.3,6.7,8.9,4.3,6.5
Israel and West Bank,82.2,warning,6.8,8.1,9.5,4,7.8,3.5,7,6.2,7.9,6.5,7.3,7.6
Bolivia,82.1,warning,6.5,8,7.4,6.5,8.8,6.1,7.1,6.8,6.5,7.5,4.3,6.6
Gambia,80.6,warning,5.8,6.8,3.7,7.4,6.5,6.8,7.8,7.2,7.5,7.8,6.1,7.2
Indonesia,80.6,warning,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2
Fiji,80.5,warning,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6
Tanzania,80.4,warning,5.8,5.7,5.8,6.9,5.9,6.1,6.5,8.5,6.5,8.2,7.1,7.4
Ecuador,80.1,warning,6.5,8.2,6.9,5.9,7.7,7.1,7.5,7.2,5.2,5.6,6,6.3
Azerbaijan,79.8,warning,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2
Nicaragua,79.6,warning,5.9,6.8,6.2,6.9,8.2,7.5,7.4,7,5.7,6.5,4.3,7
Guatemala,79.4,warning,7.3,6,7.1,6.1,7.6,6.8,6.8,6.7,6.7,7,5.9,5.4
Senegal,79.3,warning,6.3,6.3,6,6.9,6.9,6.3,6,7.5,6.5,7.8,6.7,6
Lesotho,79,warning,5.5,7,4.7,8.6,6.4,6.5,6.3,8,5.7,8.7,4.6,6.9
Moldova,78.7,warning,7.5,8,6.3,6.2,6.2,7.2,7.4,6,6.2,5.8,4.7,7.2
Benin,78.6,warning,6,6.4,3.6,7.6,6.9,6.3,6.4,8.3,5.4,8,6.8,7
Honduras,78.5,warning,7,6.3,5.6,7.2,8.1,6.9,7,6.7,6.2,7.3,3.6,6.6
China,78.3,warning,6,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5
Algeria,78.1,warning,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5
India,78,warning,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5
Bosnia and Herzegovina,77.9,warning,6.7,8.7,8,5.5,6.5,5.8,7,4.7,6.1,4.7,6.5,7.7
Mali,77.9,warning,7.1,4.5,6,7.5,6.4,7.3,5.3,8,4.6,8.8,5.5,7
Turkmenistan,77.4,warning,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9
Venezuela,77.3,warning,6.7,7.3,6.7,5.9,7.2,6.1,7.9,6.3,7.7,5.7,4.5,5.2
Russia,77.1,warning,8.2,8,7.9,4,7.3,5.4,7.9,5,8.1,6,5,4.3
Thailand,77,warning,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9
Belarus,76.6,warning,6,8,6.5,6.5,6,4.2,9,5.5,8.3,6,3.3,7.3
Turkey,76.6,warning,7.7,7.5,8.6,5.6,7.1,4.2,6.2,6,5.3,6,6.5,5.9
Morocco,76.1,warning,6.6,6.6,6.8,5.6,7.2,6.7,6.6,6.2,6.4,6.1,6.2,5.2
Maldives,75.1,warning,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1
Serbia,75,warning,6.4,8,7.9,6.2,6.2,4.7,6.6,4.6,5.8,5,6.3,7.3
Jordan,74.8,warning,5.7,6.3,7,6.4,6.8,4.4,6.3,4.6,7.1,6.5,7.3,6.5
Cape Verde,74.7,warning,5.7,5.7,4.2,6.6,6.6,8.4,6.6,6.6,5.4,7,4,7.9
Gabon,74.6,warning,5.7,7.1,3.3,5.7,7.6,5.8,7.8,6.9,6.8,6.5,5.9,5.5
El Salvador,74.4,warning,6.7,4.3,6,6,7.3,7.2,6.2,6.6,6.4,7.7,5.2,4.8
Tunisia,74.2,warning,7.5,7.8,5.6,5.5,6.3,5.2,7.8,5,8.3,5.2,4,6
Dominican Republic,74.1,warning,5.5,6.5,5.8,5.8,7.2,7.6,5.7,6.5,6,6.5,5.2,5.9
Vietnam,74,warning,5.7,6.9,6,6.1,5.9,6,7.5,6.1,7.4,6.1,4.4,5.9
Sao Tome and Principe,73.9,warning,5.8,6.3,4.8,7.4,6.1,7.6,6.7,6.7,4.6,6.8,4,7
Mexico,73.6,warning,7.7,5.2,5.8,5.7,7.5,6.2,6.6,6.1,6.2,6,4.2,6.4
Peru,73.5,warning,6.9,6.6,7.1,4.6,8,6.4,7.1,6.6,4.9,6.1,4.4,4.8
Saudi Arabia,73.4,warning,7.2,7.9,7.7,3.4,6.7,2.9,7.6,4.3,8.6,5.8,5.5,5.9
Cuba,73.1,warning,6.6,6.9,4.8,5.5,5.9,6.6,6.4,5,7.4,6,5,7
Armenia,72.2,warning,5.2,7,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1
Micronesia,71.9,warning,5.4,5.6,4.2,7,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2
Guyana,71.4,warning,6.1,5.1,6.2,6.1,7.1,8.6,6.5,5.7,4.7,6.1,3.5,5.7
Suriname,71.2,warning,5.8,5.8,6.1,6.6,7.5,7.3,6.4,5,5.3,5.8,3.2,6.4
Namibia,71,warning,5.2,3.5,5.6,6.4,8.5,6.8,4.4,6.6,5.2,7.1,5.3,6.3
Kazakhstan,70.9,warning,6.3,7.7,6.5,6.5,5.6,3.5,7.5,5.4,7.1,5.6,3.5,5.6
Paraguay,70.9,warning,6.1,7.7,6.2,5.6,8.3,5.2,7.6,5.8,6.1,6,2.2,4.2
Macedonia,69.1,warning,5.7,6.7,7.6,5.9,6.5,6.4,6.4,4.2,4.6,4.2,4.9,5.9
Malaysia,68.5,warning,6.3,6.8,6.4,4.6,6.4,4.4,6.5,4.8,7.4,5.7,4.5,4.7
Samoa,68.5,warning,5.5,5.1,4.8,5.4,6.3,8.6,6,4.8,4.4,6.7,2.6,8.3
Ghana,67.5,warning,3.3,4.7,5.2,6,6.2,7.6,4.8,7.6,4.5,6.7,5.2,5.7
Belize,67.2,warning,5.5,4.3,4.4,5.4,6.9,7,6,5.9,3.9,6.8,5.1,6
Ukraine,67.2,warning,4.3,8,6.2,5.7,5.6,6,7.7,3.9,5.4,5,2.9,6.5
Cyprus,66.8,warning,5,7.9,7.3,5.4,7,5,5.2,3.1,3.3,4.1,4.7,8.8
South Africa,66.8,warning,4.8,5.9,5.6,5.6,8.2,4,5.2,5.8,4.5,8.1,6.4,2.8
Botswana,66.5,warning,3.8,3.3,4.8,6.5,7.7,5.3,4.7,5.9,4.7,8.6,6.1,5.1
Albania,66.1,warning,5.4,6.6,5.1,5.6,5.1,6.8,7.3,4.9,5.5,5,2.8,6
Jamaica,65.8,warning,6.2,3.7,4,6.6,6.2,7,6.4,5.6,5.2,5.9,3.1,6
Seychelles,65.1,warning,6.1,5.7,4.8,4.9,6.9,5.2,6.3,3.8,5.5,5.5,3.6,6.8
Grenada,65,warning,5.3,5.6,3.9,6,6.2,8.2,6.2,3.9,4,5.5,2.9,7.4
Trinidad and Tobago,64.4,warning,6,5.6,4.4,4.7,6.6,7.7,5.9,5.1,5.5,5.5,2.9,4.5
Brazil,64.1,warning,6.2,4.9,6.2,3.6,8.4,4.2,5.6,5.5,5,7,3.9,3.6
Brunei Darussalam,64.1,warning,5.6,7.4,6.2,3.1,7.8,4.3,7.4,2.9,6.6,4.8,3.6,4.4
Bahrain,62.2,warning,6,7,7.3,3.1,5.7,2.8,7.5,2.7,7,4.6,2.6,5.9
Romania,59.5,stable,4.4,5.2,6,6,5.6,5,6.3,4.4,4.2,4.6,2.9,4.9
Antigua and Barbuda,58.9,stable,4.9,3.7,4.1,4.8,5.6,7.9,5.8,4.3,4.8,4.9,2.7,5.5
Kuwait,58.8,stable,4.7,7.2,4.6,3.7,5.6,4,6.5,2.9,6.5,4.9,3.5,4.7
Mongolia,58.7,stable,4.7,5.5,3.7,5.2,6,2.2,5.6,5.6,5.7,5.8,1.9,6.8
Bulgaria,56.3,stable,4.6,5.3,4.9,5,5.4,5.2,5.1,4.3,4,4,3.3,5.2
Croatia,56.3,stable,4.7,4.7,5.6,5.4,4.7,4.7,4.2,3.2,4.6,4,5.2,5.3
Panama,56.1,stable,5.4,2.5,4.9,4.3,7.5,4.8,4.6,5.1,4.4,5.8,3.6,3.3
Montenegro,55.5,stable,4.9,6.2,6.5,4.9,3.8,2.7,4.5,3.9,4.7,4.2,4.2,5
Bahamas,55.1,stable,4.3,4.5,4.4,4.5,5.9,5.9,4.9,4.4,3.1,6.1,2.5,4.6
Barbados,52,stable,4.2,4.2,4.4,5.3,6,6.5,3.6,3,2.8,4.1,2.6,5.3
Latvia,51.9,stable,3.6,4.3,5.2,5.3,5.4,4.5,4.8,3.7,3.5,3.9,3.6,4.1
Oman,51.7,stable,5.6,6.6,2.7,4.3,3.3,1.5,6.2,4.7,7.2,5.1,1.8,2.7
Greece,50.4,stable,4,2.5,4.8,5.9,4.6,4.7,5.4,4.2,3.3,3.8,2.3,4.8
Costa Rica,49.7,stable,2.8,3.5,4.4,4.6,6.4,3.8,3.2,4.5,2.7,4.6,4,5.2
United Arab Emirates,48.9,stable,3.2,3.6,4.3,3.9,5.1,2.7,6.4,3.1,5.9,4.1,2.8,3.8
Hungary,48.3,stable,2.6,4.7,3.8,5.9,5.2,4.2,5.8,3.4,3.2,2.8,2.8,4
Qatar,48,stable,2.8,5,4.9,3.2,4.8,2.8,5.9,2.3,5.3,4.2,2.4,4.3
Estonia,47.5,stable,3.2,5.5,5.7,3.8,4.6,4.2,3.8,3,2.7,3.8,3.6,3.6
Slovak Republic,47.4,stable,2.6,3.7,5.3,5.1,4.9,4.8,4.2,3.8,3.3,3.5,2,4.2
Argentina,46.5,stable,3,3,4.7,4.1,6.3,3.3,4.3,3.8,3.8,4.4,2.3,3.5
Italy,45.8,stable,4.9,4.8,5,4.6,3.8,2.9,5,2.7,3.2,3.3,3.6,2
Mauritius,44.7,stable,3.6,3.2,3.5,4.2,5.1,3.3,4.4,3.9,3.8,3.6,1.9,4.3
Poland,44.3,stable,2.8,3.6,3.8,4,4.4,5.3,3.7,3.1,3.2,3.8,3,3.6
Lithuania,44.2,stable,2.8,2.8,4,5,5.4,4.4,3.5,3.1,2.9,3.8,2.9,3.5
Malta,43.8,stable,3.7,2,4,3.8,3.8,4.4,4,2.6,3.2,3.1,5.1,4.1
Chile,43.5,stable,2.8,1.4,3.8,4.6,5.5,3.1,3.7,4.5,3.2,4.6,2.7,3.5
Japan,43.5,stable,2,2.6,3.8,4,2,2.1,2.5,5,3.2,8.3,4,4
Spain,42.8,stable,4.4,5.6,5.7,5,4.4,2.3,2.6,2.9,2.5,3.1,2.6,1.7
Uruguay,40.5,stable,4,2.7,2.7,3.8,4.6,5,2.2,3.4,2.6,4.1,1.8,3.7
Czech Republic,39.5,stable,2.1,3.8,3.5,4.3,3.5,3.7,3.5,3.6,2.7,2.8,2.5,3.5
South Korea,37.6,stable,2,3.6,3.4,2.3,2.6,4.2,3.2,2.2,2.8,3,2.5,5.7
Singapore,35.6,stable,1.8,4,3,3.3,3.7,3.1,3.5,2.2,5,2.6,0.9,2.5
United Kingdom,35.3,stable,3,3.6,4.7,3.7,3.9,2.4,1.9,2.6,2.1,2.8,3,1.6
United States,34.8,stable,1.9,3.6,3.9,3.4,5.1,1.3,2.6,2.7,3.5,3.3,2.6,1
Portugal,34.2,stable,1.9,1.4,2.3,5.3,3.7,2.9,2,3.8,3,3.1,1.8,3
Slovenia,34,stable,2.8,1.6,3.3,3.5,4.4,3.5,2.7,2.4,2.8,2.8,1.5,2.6
France,33.6,stable,2.2,1.9,5.6,3.9,4.6,1.8,1.9,1.8,2.7,3,2.5,1.7
Belgium,33.5,stable,2.3,4,4.1,3.6,4.1,1.9,2.4,2.5,1.8,2.6,1.9,2.3
Germany,31.7,stable,2.5,2.1,4.4,2.6,4.1,2.5,1.7,1.8,2,2.5,3.9,1.7
Australia,29.2,sustainable,2,1.6,3.9,2.6,3.6,1.4,1.3,2.1,2.2,4.4,3,1.1
Iceland,29.1,sustainable,1.3,1.8,1,5.7,1.9,3.1,1.7,1.9,1.6,1.9,1.3,5.7
Netherlands,28.1,sustainable,1.7,2.4,4.1,3.3,2.6,2.5,1,1.8,1.3,2.9,2.7,1.8
Austria,27.5,sustainable,1.4,2.4,4,2,4.1,1.9,1.3,1.8,1.8,2.6,2.3,1.9
Canada,26.8,sustainable,1.8,2.5,3,2.1,3.8,2.4,1,2.2,1.9,2.7,2.2,1.1
Ireland,26.5,sustainable,1.7,1.4,1.6,3.8,2.7,3,2.2,2.2,1.3,2.5,1.7,2.4
New Zealand,25.6,sustainable,1.4,1.1,3.8,3.9,3.7,2.7,0.8,2.1,1.5,2.4,1.4,0.8
Luxembourg,25.5,sustainable,2.3,3.4,2.8,1.8,1.8,1.8,2.2,1.6,1.3,2,2.1,2.3
Norway,23.9,sustainable,3,1.2,3.6,2.4,1.8,1.5,0.8,1.7,2.2,2.3,1.8,1.6
Switzerland,23.3,sustainable,1.7,1,3.2,2.2,2.6,2.2,0.9,1.7,2,2.4,1.8,1.7
Denmark,23,sustainable,1.8,1,3,2.2,1.8,2.2,0.8,1.7,1.5,2.8,1.9,2.3
Sweden,21.3,sustainable,2.5,1.8,1,1.6,1.9,1.8,0.8,1.8,1.6,2.6,2.6,1.3
Finland,20,sustainable,1.3,1.2,1.4,2.9,1.3,2.6,0.8,1.8,1.4,2.2,1.9,1.2
