Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
South Sudan,112.9,alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,2.18,4.5,7.8,5.12,5.17,2.7
Somalia,112.6,alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,2.14,3.97,5.4,5.12,5.17,4.77
Central African Republic,110.6,alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,2.15,3.96,8.86,5.12,5.17,9.56
Congo Democratic Republic,110.2,alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,4.57,4.5,4.71,5.12,5.17,4.77
Sudan,110.1,alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,2.26,4.05,8.72,0.7,8.21,5.97
Chad,108.7,alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,2.14,3.98,9.06,0.1,9.25,8.83
Afghanistan,106.5,alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,2.26,3.97,9.62,1.28,8.94,4.05
Yemen,105.4,alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,4.57,4.5,4.71,5.12,5.17,4.77
Haiti,104.3,alert,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,2.25,3.97,2.34,5.12,5.17,4.91
Pakistan,103,alert,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,2.57,4.21,9.64,0.53,8.8,3.36
Zimbabwe,102.8,alert,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,2.5,3.99,3.66,5.12,5.17,3.13
Guinea,102.7,alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,2.21,3.97,3.31,0.49,8.73,8.6
Iraq,102.2,alert,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,4.96,4.5,9.48,5.12,5.17,3.15
Cote d'Ivoire,101.7,alert,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,2.36,4,3.25,0.46,8.93,7.21
Syria,101.6,alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,4.57,4.5,4.71,5.12,5.17,4.77
Guinea Bissau,100.6,alert,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,4.57,4.5,4.71,5.12,5.17,4.77
Nigeria,99.7,alert,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,2.38,4.06,8.78,0.73,5.17,3.43
