Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Kenya,99,alert,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,2.27,4.03,5.06,5.12,5.17,4.25
Ethiopia,97.9,alert,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,2.17,4.03,6.45,5.12,8.96,3.97
Niger,97.9,alert,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,2.17,3.97,9.68,0.06,5.17,6.45
Burundi,97.1,alert,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,2.14,3.96,7.34,0.48,9.15,4.91
Uganda,96,alert,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,2.18,4,8.56,5.12,9.19,3.53
Eritrea,95.5,alert,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,4.573705179,3.96,8.2,0.39,9.29,9.88
Liberia,94.3,alert,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,2.22,3.96,2.11,0.4,5.17,3.13
Myanmar,94.3,alert,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,2.32,4.02,7.51,1.16,5.17,3.63
North Korea,94,alert,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,4.57,4.5,4.71,5.12,5.17,4.77
Cameroon,93.1,alert,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,2.27,3.98,9.49,1.73,8.24,6.64
Mauritania,93,alert,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,2.45,3.98,8,0.19,9.42,9.15
Bangladesh,92.8,alert,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,2.34,4.09,9.9,5.12,8.55,3.91
Sri Lanka,92.6,alert,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,2.56,4.13,4.59,5.12,7.97,7.79
Egypt,91,alert,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,4.57,4.5,4.71,5.12,5.17,4.77
Nepal,91,alert,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,2.25,3.98,10,2.59,8.33,2.79
Timor-Leste,91,alert,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,2.3,3.96,3.15,2.08,5.17,0.61
Rwanda,90.5,alert,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,2.15,3.97,7.85,0.47,9,3.43
Sierra Leone,89.9,warning,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,2.2,3.97,2.61,5.12,5.17,3.06
Mali,89.8,warning,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,2.15,3.98,6.2,0.64,9.11,6.54
Congo Republic,89.6,warning,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,4.57,4.5,4.71,5.12,5.17,4.77
Malawi,89.1,warning,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,2.15,3.97,4.19,0.41,5.17,3.87
Burkina Faso,89,warning,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,2.19,3.97,6.21,0.21,9.16,5.12
Cambodia,88.5,warning,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,2.33,3.99,4.98,5.12,5.17,1.51
Libya,87.8,warning,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,7.61,4.5,8.64,5.12,5.17,3.36
Togo,87.8,warning,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8,2.29,3.97,5.06,5.12,8.81,6.92
Angola,87.4,warning,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,2.78,4.08,5.99,5.12,5.17,7.33
Iran,87.2,warning,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,4.57,4.5,4.71,5.12,5.17,4.77
Djibouti,87.1,warning,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,2.51,3.97,7.68,0.59,5.17,4.35
Lebanon,86.9,warning,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,4.62,4.22,5.41,2.01,4.7,2.93
Solomon Islands,86.4,warning,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,2.29,3.96,1.68,5.12,5.17,3.24
Uzbekistan,86.3,warning,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,4.06,4.01,5.05,6.19,8.97,5.29
Zambia,86.2,warning,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9,2.25,4,4.95,5.12,5.17,0.94
Mozambique,85.9,warning,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,2.27,4,3.62,0.25,9.1,4.05
Swaziland,85.8,warning,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,4.57,4.5,4.71,5.12,5.17,4.77
Equatorial Guinea,85.3,warning,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,4.91,4.5,8.19,5.12,5.17,6.31
Philippines,85.3,warning,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,2.65,4.27,3.11,5.54,5.81,5.37
Comoros,85.1,warning,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,2.21,3.96,3.37,1.93,8.9,10
Tajikistan,84.6,warning,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,2.42,3.98,8.5,5.12,7.36,9.84
Laos,84.3,warning,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,4.57,4.5,4.71,5.12,5.17,4.77
Papua New Guinea,84.1,warning,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,2.52,4.04,1.84,5.12,5.17,4.71
Kyrgyz Republic,83.9,warning,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,2.98,3.99,3.77,6.24,4.19,2.7
Colombia,83.1,warning,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,3.04,4.38,2.73,7.16,3.18,9.8
Gambia,83.1,warning,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,4.57,4.5,4.71,5.12,5.17,4.77
Madagascar,83.1,warning,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6,2.18,3.97,3.81,0.42,9.17,4.46
Senegal,82.8,warning,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2,2.42,3.98,6.83,0.96,8.8,5.91
Georgia,82.7,warning,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,3.43,4.02,3.69,7.13,5.05,1.02
Bhutan,80.9,warning,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,2.78,3.97,7.61,4.67,9.42,3.89
Tanzania,80.8,warning,5.2,5.7,5.9,6.7,6.7,6.7,6,8.7,6.3,8.6,6.7,7.6,2.22,4.02,5.04,5.12,5.17,5.74
Guatemala,80.3,warning,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7,2.7,4.04,4.5,1.17,8.09,4.83
Israel and West Bank,79.5,warning,6.8,8.1,9.7,4,7.2,3.5,6.6,5.6,7.1,6.3,7.1,7.5,4.57,4.5,4.71,5.12,5.17,4.77
China,79,warning,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,6.7,9.43,9.65,5.12,4.95,9.28
Fiji,79,warning,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,2.8,3.96,1.64,5.12,5.17,3.08
Bolivia,78.9,warning,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3,3.14,4,4.11,5.24,5.17,9.88
Algeria,78.8,warning,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7,4.25,3.98,6.56,5.12,5.98,9.55
Lesotho,78.6,warning,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5,2.7,3.96,6.01,1.14,8.83,0.78
Nicaragua,78.4,warning,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6,2.52,4,2.94,5.12,5.17,8.34
Benin,78.2,warning,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6,2.42,3.97,5.23,1.47,8.31,8.07
Turkmenistan,78.2,warning,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9,8.95,3.96,3.5,5.31,8.97,4.77
Honduras,77.9,warning,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1,2.66,3.99,3.74,1.13,7.89,5.23
Azerbaijan,77.8,warning,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,4.38,4.01,3.21,5.12,7.53,4.81
Tunisia,77.5,warning,7.3,8.1,7.8,6.3,5.7,5.3,8,5.2,8.1,4.7,4.4,6.6,3.53,4.07,6.37,5.59,5.95,8.76
Ecuador,77.3,warning,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9,3.64,4.06,2.34,8.19,5.17,3.4
Thailand,77,warning,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,4.83,4.51,5.16,9.18,3.61,2.21
India,76.9,warning,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,3.03,5.84,10,3.58,7.23,7.8
Indonesia,76.8,warning,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,3.08,5.16,2.38,4.97,6.69,3.13
Jordan,76.7,warning,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,3.79,4.06,6.04,3.01,5.17,2.7
Venezuela,76.7,warning,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6,4.57,4.5,4.71,5.12,5.17,4.77
Russia,76.5,warning,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,4.57,4.5,4.71,5.12,5.17,4.77
Bosnia and Herzegovina,75.9,warning,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,5.88,4.02,5.02,5.12,5.17,1.81
Sao Tome and Principe,75.8,warning,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,2.41,3.96,4.81,3.6,8.86,4.33
Maldives,75.4,warning,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,3.96,3.97,1.37,5.12,8.45,2.91
Moldova,75.1,warning,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,2.83,3.98,2.43,5.54,4.91,4.73
Belarus,75,warning,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,6.18,4.12,3.01,7.88,0.29,6.92
Micronesia,74.6,warning,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,4.57,4.5,4.71,5.12,5.17,4.77
Morocco,74.4,warning,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,3.03,4.13,5.29,5.12,7.27,6.68
Cape Verde,74.1,warning,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,4.57,4.5,4.71,5.12,5.17,4.77
Turkey,74.1,warning,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3,4.75,5.63,7.92,7.68,0.38,4.89
Dominican Republic,73.4,warning,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,3.22,4.07,1.99,4.45,3.74,5.58
Saudi Arabia,73.1,warning,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,9.92,4.5,9.97,8.95,2.56,0.86
Peru,72.9,warning,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,3.18,4.24,4.74,6.74,5.17,4.29
Vietnam,72.7,warning,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,3.07,4.25,6.41,5.12,6.57,5.02
Gabon,72.2,warning,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,3.65,3.98,7.7,5.12,5.17,5.21
El Salvador,72,warning,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,2.62,4.02,4.72,4.01,6.91,4.6
Serbia,72,warning,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,5.27,4.09,4.49,6.56,2.55,3.95
Paraguay,71.6,warning,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,2.55,4.03,1.75,5.12,5.17,3.83
Namibia,71.5,warning,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,2.94,4.5,4.38,5.12,8.05,1.48
Armenia,71.3,warning,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,3.13,4,6.01,5.32,4.06,1.41
Mexico,71.1,warning,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,4.34,5.78,3.72,6.21,6.6,7.19
Guyana,71,warning,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,3.56,3.97,3.84,5.12,5.17,3.3
Cuba,70.8,warning,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,3.82,4.5,3.33,7.19,5.06,4.77
Ghana,70.7,warning,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,2.38,4.04,4.35,2.34,8.35,3.38
Suriname,70.6,warning,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,4.19,4.5,4.38,3.55,5.17,2.51
Samoa,69.3,warning,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,2.64,3.96,1.75,5.46,5.17,1.19
Kazakhstan,68.5,warning,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,9.41,4.6,1.92,7.99,3.9,2.68
Cyprus,67.9,warning,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,5.25,4.5,2.72,7.25,3.2,1.71
Ukraine,67.2,warning,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3,5.1,4.48,3.16,6.9,0.51,7.35
Belize,67,warning,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,2.84,3.97,4.02,4.41,7.42,3.08
South Africa,66.6,warning,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,7.5,4.54,4.54,7.54,7.92,2.68
Macedonia,66.4,warning,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,4.57,4.5,4.71,5.12,5.17,4.77
Malaysia,66.2,warning,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,6.98,4.5,2.46,5.14,5.62,4.71
Grenada,65.2,warning,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,3.35,3.96,3.99,7.43,5.17,5.95
Jamaica,64.9,warning,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,3.54,4.02,1.97,4.68,5.17,5.08
Bahrain,64.7,warning,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,9.99,4.5,9.77,7.18,4.94,0.77
Botswana,64.5,warning,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,3.94,3.97,3.96,5.12,7.21,2.07
Seychelles,63.7,warning,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,5.36,4.5,3.26,5.56,9.03,2.84
Albania,63.6,warning,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,3.17,4,2.84,6.84,1.29,3.17
Brunei Darussalam,63.6,warning,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,9.98,4.5,0.95,7.18,6.39,0.96
Brazil,61.4,warning,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,3.54,6.24,1.96,7.42,3.65,9.07
Trinidad and Tobago,61.3,warning,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9,10,4.5,4.12,5.12,5.17,3.24
Antigua and Barbuda,59,stable,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,5.33,4.5,3,6.46,5.17,5.19
Kuwait,59,stable,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,10,4.5,9.42,6.42,5.17,0.72
Mongolia,58.1,stable,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,6.44,4.05,7.32,5.12,1.85,2.01
Romania,56.9,stable,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,4.12,4.42,2.12,6.33,4,5.52
Montenegro,55.7,stable,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,4.14,3.97,3.47,5.12,5.17,1.61
Panama,55.7,stable,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,3.33,4.5,1.79,3.69,4.45,4.27
Bulgaria,54.4,stable,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,5.65,4.15,3.21,7.82,1.53,2.37
Bahamas,54.1,stable,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,4.57,4.5,4.71,5.12,5.17,4.77
Oman,53.1,stable,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,9.59,4.5,7.01,5.12,5.86,1.76
Croatia,52.9,stable,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,4.41,4.5,2.75,7.16,1.53,1.22
Greece,52.1,stable,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,5.85,4.5,2.54,7.21,0.02,6.99
Barbados,51.4,stable,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,4.75,4.5,4.19,8.34,5.17,3.75
Qatar,48.9,stable,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,10,4.5,9.98,5,8.54,0.62
Costa Rica,48.5,stable,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,2.97,4.04,2.58,9.18,3.21,8.2
Hungary,48.3,stable,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,4.6,4.5,2.35,7.81,3.35,6.46
Latvia,48,stable,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,4.1,4.5,2.1,8.73,1.25,3.83
United Arab Emirates,47.6,stable,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2,9.99,4.5,7.06,5.12,5.17,0.88
Argentina,47.3,stable,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,4.92,4.5,2.03,8.1,0.53,10
Mauritius,46.1,stable,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,4.01,4.01,2.17,7.31,5.28,1.85
Slovak Republic,45.3,stable,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,5.51,4.5,2.72,6.03,3.26,6.75
Estonia,45.2,stable,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,9.49,4.5,1.1,8.24,1.08,6.75
Italy,43.4,stable,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,5.26,4.5,2.62,7.66,1.94,9
Lithuania,43.2,stable,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,4.67,4.5,1.78,8.24,1.29,5.35
Spain,43.1,stable,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,5.1,4.5,1.39,9.61,0.33,8.16
Malta,43,stable,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,5.34,4.5,2.03,6.55,4.43,5.16
Poland,42.1,stable,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,6.68,4.5,3.53,8.03,1.46,4.87
Chile,42,stable,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,4.88,4.5,3.67,7.25,0.41,2.68
Czech Republic,39.4,stable,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,7.6,4.5,2.55,7.87,1.72,6.19
Uruguay,37.9,stable,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2,3.17,4.5,1.37,8.46,2.24,5.23
South Korea,36.4,stable,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,4.57,4.5,4.71,5.12,5.17,4.77
Japan,36.3,stable,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,7.78,4.5,1.74,7.49,5.17,6.92
Singapore,35.9,stable,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,8.14,4.5,2.55,5.12,5.17,1.18
United States,35.4,stable,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3,9.72,4.5,1.16,6.92,0.33,5.64
France,34.8,stable,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,4.8,4.5,1.69,7.81,2.12,9.45
United Kingdom,34.3,stable,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5,6.05,4.5,1.48,9.52,2.65,3.53
Portugal,33.1,stable,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,4.64,4.5,1.23,8.87,1.76,5.33
Slovenia,32.6,stable,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,5.87,4.5,2.41,8.41,0.57,3.06
Belgium,32,stable,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,7.15,4.5,1.84,9.99,1.09,8.22
Germany,30.6,stable,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,7.45,4.5,1.76,7.45,1.86,6.64
Netherlands,28.6,sustainable,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,7.97,4.5,1.77,9.63,5.17,4.64
Austria,28.5,sustainable,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,6.29,4.5,1.86,7.25,0.72,7.17
