Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Somalia,113.9,alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4
Congo Democratic Republic,111.9,alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7
Sudan,111,alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10
South Sudan,110.6,alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10
Chad,109,alert,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9
Yemen,107,alert,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7
Afghanistan,106.7,alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10
Haiti,105.8,alert,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9
Central African Republic,105.3,alert,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4
Zimbabwe,105.2,alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8
Iraq,103.9,alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5
Cote d'Ivoire,103.5,alert,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7
Pakistan,102.9,alert,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6
Guinea,101.3,alert,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7
Guinea Bissau,101.1,alert,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9
Nigeria,100.7,alert,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3
Kenya,99.6,alert,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5
Niger,99,alert,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5
Ethiopia,98.9,alert,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1
